Chave encontrada na árvore. Tempo de busca: 0.000000157 segundos. Interações: 6
Chave encontrada na árvore. Tempo de busca: 0.000000121 segundos. Interações: 5
Chave encontrada na árvore. Tempo de busca: 0.000000143 segundos. Interações: 7
Chave encontrada na árvore. Tempo de busca: 0.000000140 segundos. Interações: 7
Chave encontrada na árvore. Tempo de busca: 0.000000125 segundos. Interações: 6
Chave encontrada na árvore. Tempo de busca: 0.000000232 segundos. Interações: 6
Chave encontrada na árvore. Tempo de busca: 0.000000144 segundos. Interações: 5
Chave encontrada na árvore. Tempo de busca: 0.000000102 segundos. Interações: 7
Chave encontrada na árvore. Tempo de busca: 0.000000107 segundos. Interações: 5
Chave encontrada na árvore. Tempo de busca: 0.000000098 segundos. Interações: 5
Chave encontrada na árvore. Tempo de busca: 0.000000067 segundos. Interações: 5
Chave encontrada na árvore. Tempo de busca: 0.000000101 segundos. Interações: 7
Chave encontrada na árvore. Tempo de busca: 0.000000097 segundos. Interações: 7
Chave encontrada na árvore. Tempo de busca: 0.000000067 segundos. Interações: 4
Chave encontrada na árvore. Tempo de busca: 0.000000099 segundos. Interações: 6
Chave não encontrada na árvore. Tempo de busca: 0.000000419 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000260 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000156 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000106 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000124 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000126 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000114 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000111 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000111 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000133 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000194 segundos. Interações: 8
Chave não encontrada na árvore. Tempo de busca: 0.000000136 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000124 segundos. Interações: 10
Chave não encontrada na árvore. Tempo de busca: 0.000000224 segundos. Interações: 6
Chave não encontrada na árvore. Tempo de busca: 0.000000167 segundos. Interações: 10
